,,,,,
,,source,Unknown,,meansource%
HatchedEgg,,0.56039,0.43961,,58.1688
HatchedEgg,,0.67446,0.32554,,
HatchedEgg,,0.33616,0.66384,,
HatchedEgg,,0.42705,0.57295,,
HatchedEgg,,0.68345,0.31655,,
HatchedEgg,,0.30384,0.69616,,
HatchedEgg,,0.38742,0.61258,,
HatchedEgg,,0.85001,0.14999,,
HatchedEgg,,0.38525,0.61475,,
HatchedEgg,,0.57098,0.42902,,
HatchedEgg,,0.28763,0.71237,,
HatchedEgg,,0.16503,0.83497,,
HatchedEgg,,0.43158,0.56842,,
HatchedEgg,,0.95242,0.04758,,
HatchedEgg,,0.74169,0.25831,,
HatchedEgg,,0.91449,0.08551,,
HatchedEgg,,0.98196,0.01804,,
HatchedEgg,,0.97199,0.02801,,
HatchedEgg,,0.97413,0.02587,,
HatchedEgg,,0.5987,0.4013,,
HatchedEgg,,0.59909,0.40091,,
HatchedEgg,,0.39308,0.60692,,
HatchedEgg,,0.51497,0.48503,,
HatchedEgg,,0.55128,0.44872,,
HatchedEgg,,0.28515,0.71485,,
,,,,,
,,,,,
day0,,0.56337,0.43663,,59.0154705882353
day0,,0.5228,0.4772,,
day0,,0.89598,0.10402,,
day0,,0.4917,0.5083,,
day0,,0.66751,0.33249,,
day0,,0.92187,0.07813,,
day0,,0.3126,0.6874,,
day0,,0.45342,0.54658,,
day0,,0.76371,0.23629,,
day0,,0.58287,0.41713,,
day0,,0.62364,0.37636,,
day0,,0.16871,0.83129,,
day0,,0.96894,0.03106,,
day0,,0.73843,0.26157,,
day0,,0.39937,0.60063,,
day0,,0.47092,0.52908,,
day0,,0.48679,0.51321,,
,,,,,
,,,,,
day5,,0.03806,0.96194,,24.7426666666667
day5,,0.05031,0.94969,,
day5,,0.04108,0.95892,,
day5,,0.75636,0.24364,,
day5,,0.91704,0.08296,,
day5,,0.46244,0.53756,,
day5,,0.61317,0.38683,,
day5,,0.95852,0.04148,,
day5,,0.03404,0.96596,,
day5,,0.14606,0.85394,,
day5,,0.0641,0.9359,,
day5,,0.15598,0.84402,,
day5,,0.16853,0.83147,,
day5,,0.11518,0.88482,,
day5,,0.07603,0.92397,,
day5,,0.03389,0.96611,,
day5,,0.3929,0.6071,,
day5,,0.06165,0.93835,,
day5,,0.01024,0.98976,,
day5,,0.02675,0.97325,,
day5,,0.07363,0.92637,,
,,,,,
,,,,,
day10,,0.00045,0.99955,,3.129
day10,,0.00481,0.99519,,
day10,,0.00593,0.99407,,
day10,,0.02979,0.97021,,
day10,,0.03085,0.96915,,
day10,,0.07772,0.92228,,
day10,,0.15316,0.84684,,
day10,,0.01989,0.98011,,
day10,,0.05353,0.94647,,
day10,,0.00275,0.99725,,
day10,,0.02776,0.97224,,
day10,,0.02826,0.97174,,
day10,,0.00211,0.99789,,
day10,,0.01567,0.98433,,
day10,,0.01667,0.98333,,
,,,,,
,,,,,
day15,,0.00237,0.99763,,1.88953846153846
day15,,0.00072,0.99928,,
day15,,0.00081,0.99919,,
day15,,0.01302,0.98698,,
day15,,0.01665,0.98335,,
day15,,0.01632,0.98368,,
day15,,0.02716,0.97284,,
day15,,0.00883,0.99117,,
day15,,0.00339,0.99661,,
day15,,0.00087,0.99913,,
day15,,0.1417,0.8583,,
day15,,0.00049,0.99951,,
day15,,0.01331,0.98669,,
,,,,,
,,,,,
day20,,0.01626,0.98374,,0.349727272727273
day20,,0.00177,0.99823,,
day20,,0.00139,0.99861,,
day20,,0.00359,0.99641,,
day20,,0.00058,0.99942,,
day20,,0.00603,0.99397,,
day20,,0.00079,0.99921,,
day20,,0.00327,0.99673,,
day20,,0.00325,0.99675,,
day20,,0.00114,0.99886,,
day20,,0.0004,0.9996,,
,,,,,
,,,,,
day25,,0.00399,0.99601,,3.1699
day25,,0.00395,0.99605,,
day25,,0.00264,0.99736,,
day25,,0.00135,0.99865,,
day25,,0.00516,0.99484,,
day25,,0.00444,0.99556,,
day25,,0.00144,0.99856,,
day25,,0.0018,0.9982,,
day25,,0.00065,0.99935,,
day25,,0.29157,0.70843,,
,,,,,
,,,,,
day30andGreater,,0.00103,0.99897,,0.272166666666667
day30andGreater,,0.0017,0.9983,,
day30andGreater,,0.00188,0.99812,,
day30andGreater,,0.01316,0.98684,,
day30andGreater,,0.00096,0.99904,,
day30andGreater,,0.00029,0.99971,,
day30andGreater,,0.00045,0.99955,,
day30andGreater,,0.00055,0.99945,,
day30andGreater,,4E-05,0.99996,,
day30andGreater,,0.0001,0.9999,,
day30andGreater,,0.00092,0.99908,,
day30andGreater,,0.01158,0.98842,,
