"otu.names" "fVals" "pVals" "estimates" "SE" "CIlower" "CIupper" "W_stat" "detected_0.95" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6" "ASV" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"1" "00d4306620fb956f4cb8ea6616da13a3" 3.6243180029698 0.0654331409047298 1.27548419064796 0.669980144001009 -0.0860792783499813 2.63704765964591 25 FALSE FALSE FALSE FALSE FALSE "X00d4306620fb956f4cb8ea6616da13a3" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales Incertae Sedis" "uncultured" "Genus_uncultured"
"2" "0295963259f6a8a136cf5f063d7e3c30" 2.7445426568233 0.106788335205235 -1.22683702779518 0.740545730786957 -2.73180702308565 0.278132967495291 7 FALSE FALSE FALSE FALSE FALSE "X0295963259f6a8a136cf5f063d7e3c30" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "uncultured" "uncultured gamma proteobacterium"
"3" "02991c28233f32164d60d4a6ee2cd37d" 9.73366537460842 0.00367569755923163 -2.24644944280188 0.720043017286499 -3.70975291115493 -0.783145974448825 105 FALSE FALSE FALSE FALSE FALSE "X02991c28233f32164d60d4a6ee2cd37d" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Family_Burkholderiaceae" "Family_Burkholderiaceae"
"4" "02b4cbe5c2955ab2f66dc82cdf6dad64" 2.99445543841958 0.0926184548004276 -1.28932796846061 0.745082694236854 -2.80351818281111 0.22486224588989 9 FALSE FALSE FALSE FALSE FALSE "X02b4cbe5c2955ab2f66dc82cdf6dad64" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Aquabacterium" "Genus_Aquabacterium"
"5" "04046dd6d82a6e86d22cf8d591fa8158" 2.08140362498521 0.158253019028619 1.58218790092398 1.09667995566781 -0.646533917460723 3.81090971930868 0 FALSE FALSE FALSE FALSE FALSE "X04046dd6d82a6e86d22cf8d591fa8158" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Family_Burkholderiaceae" "Family_Burkholderiaceae"
"6" "04750b35999a335ee206ca2372289b68" 0.115269586121496 0.736311086115802 -0.223240171790079 0.657529104778794 -1.55950008469338 1.11301974111322 0 FALSE FALSE FALSE FALSE FALSE "X04750b35999a335ee206ca2372289b68" "Bacteria" "Bacteroidetes" "Bacteroidia" "Sphingobacteriales" "ST-12K33" "uncultured bacterium" "uncultured bacterium"
"7" "04dc622eb17111b44416165ce9dd3d99" 0.391154872669971 0.535868672709094 -0.397178373107198 0.635054825246211 -1.68776505482953 0.893408308615138 0 FALSE FALSE FALSE FALSE FALSE "X04dc622eb17111b44416165ce9dd3d99" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Pedosphaerales" "Pedosphaeraceae" "uncultured bacterium" "uncultured bacterium"
"8" "061f2294ab176bd2ca44ac28ace4f047" 8.22348077477534 0.00705310355525731 -1.90792565767736 0.665324640068934 -3.26002800437123 -0.555823310983477 59 FALSE FALSE FALSE FALSE FALSE "X061f2294ab176bd2ca44ac28ace4f047" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Family_Burkholderiaceae" "Family_Burkholderiaceae"
"9" "06f311750a537fbc1fe2ca8225eacf23" 0.0365050085119522 0.849612740124768 0.112477738671978 0.58869500296451 -1.08389444876543 1.30884992610938 0 FALSE FALSE FALSE FALSE FALSE "X06f311750a537fbc1fe2ca8225eacf23" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Pedosphaerales" "Pedosphaeraceae" "uncultured verrucomicrobium DEV064" "uncultured verrucomicrobium DEV064"
"10" "0aa9c9c8cb02df0fcbd4507e073e5aea" 1.27951955288377 0.265904242164918 0.718482146506969 0.635173714641372 -0.572346147535898 2.00931044054984 0 FALSE FALSE FALSE FALSE FALSE "X0aa9c9c8cb02df0fcbd4507e073e5aea" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Marmoricola" "uncultured bacterium"
"11" "0b60e65624fab50047f1eb1eb04002d1" 0.578716802304062 0.452059583802835 -0.473525842631933 0.622458840925213 -1.73851440437847 0.791462719114602 0 FALSE FALSE FALSE FALSE FALSE "X0b60e65624fab50047f1eb1eb04002d1" "Bacteria" "Bacteroidetes" "Bacteroidia" "Flavobacteriales" "NS9 marine group" "uncultured Bacteroidetes bacterium" "uncultured Bacteroidetes bacterium"
"12" "0ccf3a4802df2fdd1ca03036f09fdda3" 0.1793519278362 0.674597911650784 0.239449620918334 0.565406932646668 -0.90959551348303 1.3884947553197 0 FALSE FALSE FALSE FALSE FALSE "X0ccf3a4802df2fdd1ca03036f09fdda3" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "uncultured" "metagenome"
"13" "0d2ad6c8a4b9eddb8383d3b1fdd247f4" 0.819228311474895 0.371775271338084 -0.680513833771162 0.751855674567269 -2.20846840020986 0.847440732667539 3 FALSE FALSE FALSE FALSE FALSE "X0d2ad6c8a4b9eddb8383d3b1fdd247f4" "Bacteria" "Bacteroidetes" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" "Genus_Flavobacterium"
"14" "0d989d155d117292c5198a2ac218a97f" 0.00641945596227807 0.936610371396598 -0.0601873307349609 0.751200677837635 -1.58681078366624 1.46643612219632 0 FALSE FALSE FALSE FALSE FALSE "X0d989d155d117292c5198a2ac218a97f" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Luteimonas" "Genus_Luteimonas"
"15" "0e10a3ac8134ede364b62579e5bfae51" 2.19930243801708 0.147284232728969 -1.14290196257773 0.770666534682644 -2.70908479620145 0.423280871045985 2 FALSE FALSE FALSE FALSE FALSE "X0e10a3ac8134ede364b62579e5bfae51" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Comamonas" "Genus_Comamonas"
"16" "0e47b1c8584c7a957e4ec39127224c0f" 0.00989413155711434 0.921349885371923 0.0654698163728426 0.658191519800348 -1.2721362858209 1.40307591856658 1 FALSE FALSE FALSE FALSE FALSE "X0e47b1c8584c7a957e4ec39127224c0f" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Novosphingobium" "Genus_Novosphingobium"
"17" "10b890326e2b0b15509aefb95d0d6b79" 15.7041713580839 0.000360161847405617 -3.57394768986231 0.901863226506921 -5.40675428008657 -1.74114109963806 183 FALSE FALSE FALSE TRUE TRUE "X10b890326e2b0b15509aefb95d0d6b79" "Bacteria" "Bacteroidetes" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Sphingobacterium" "Genus_Sphingobacterium"
"18" "11d87ac25ec8431c1979f2151c92503d" 5.6020042260885 0.0237755642148424 1.80147660262343 0.761126617272234 0.254681213776365 3.3482719914705 35 FALSE FALSE FALSE FALSE FALSE "X11d87ac25ec8431c1979f2151c92503d" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Marinilabiliaceae" "Carboxylicivirga" "Genus_Carboxylicivirga"
"19" "12322f15c5dcca422f121c2e90eb3566" 4.26082667333919 0.0466980880478532 -1.95262440930316 0.945957838164429 -3.87504203195888 -0.030206786647438 32 FALSE FALSE FALSE FALSE FALSE "X12322f15c5dcca422f121c2e90eb3566" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" "Brevundimonas diminuta"
"20" "1522964ac2df50a3159a5ced2d2ae85e" 0.017119180224123 0.896672771922122 0.0799488334911119 0.611041418821958 -1.16183673487552 1.32173440185774 0 FALSE FALSE FALSE FALSE FALSE "X1522964ac2df50a3159a5ced2d2ae85e" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Saprospiraceae" "uncultured" "uncultured bacterium"
"21" "154485e5a0e47ba32ebf4405c7984bce" 3.23571749971229 0.0809313396569896 1.03796736414926 0.577030009138545 -0.1346987036341 2.21063343193262 9 FALSE FALSE FALSE FALSE FALSE "X154485e5a0e47ba32ebf4405c7984bce" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Novosphingobium" "Genus_Novosphingobium"
"22" "1589aa03f06693fdd5ec1d59d3851e8c" 5.47673053620149 0.0252780017293222 -1.93326463087144 0.826096189370309 -3.61209407588754 -0.254435185855341 29 FALSE FALSE FALSE FALSE FALSE "X1589aa03f06693fdd5ec1d59d3851e8c" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Family_Burkholderiaceae" "Family_Burkholderiaceae"
"23" "18a980ed927822f60eebf93600ee8ff4" 2.74350959939049 0.10685183328853 0.825751972229845 0.498535830996228 -0.187394733010385 1.83889867747008 13 FALSE FALSE FALSE FALSE FALSE "X18a980ed927822f60eebf93600ee8ff4" "Bacteria" "Acidobacteria" "Acidobacteriia" "Solibacterales" "Solibacteraceae (Subgroup 3)" "Paludibaculum" "metagenome"
"24" "1c2b8892a0d7f828d72808cd01cfd199" 0.0328858070653624 0.857173992025105 0.110483743599426 0.609248023670378 -1.12765720731737 1.34862469451622 0 FALSE FALSE FALSE FALSE FALSE "X1c2b8892a0d7f828d72808cd01cfd199" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Devosiaceae" "Devosia" "Genus_Devosia"
"25" "1cf57c7db4daf3401cd9a347cf409062" 4.22618636355007 0.0475483754950986 1.54083497997825 0.749517551225787 0.017632051862384 3.06403790809412 10 FALSE FALSE FALSE FALSE FALSE "X1cf57c7db4daf3401cd9a347cf409062" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Leeiaceae" "Leeia" "Ambiguous_taxa"
"26" "1d1d68c0261030f6885f385754f10174" 0.0318948417934207 0.859318581014208 0.145782682210285 0.816292319568468 -1.51312290223096 1.80468826665153 0 FALSE FALSE FALSE FALSE FALSE "X1d1d68c0261030f6885f385754f10174" "Bacteria" "Bacteroidetes" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" "Genus_Flavobacterium"
