"otu.names" "fVals" "pVals" "estimates" "SE" "CIlower" "CIupper" "W_stat" "detected_0.95" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6" "ASV" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"1" "06c7162af26e2d10e7fc04022c56c0db" 0.946317169468845 0.336504762533791 -0.653721435916318 0.672007880692007 -2.01190002567481 0.704457153842171 0 FALSE FALSE FALSE FALSE FALSE "X06c7162af26e2d10e7fc04022c56c0db" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Bdellovibrionales" "Bacteriovoracaceae" "Peredibacter" "Genus_Peredibacter"
"2" "0d6dbc0ebf2ca4f51e99b0e3434b6624" 2.24324077471881 0.142049984213179 1.25655431897816 0.838963993077389 -0.43905516078363 2.95216379873996 0 FALSE FALSE FALSE FALSE FALSE "X0d6dbc0ebf2ca4f51e99b0e3434b6624" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Stenotrophomonas" "Stenotrophomonas acidaminiphila"
"3" "10b890326e2b0b15509aefb95d0d6b79" 0.00356904195859533 0.952659034851087 -0.0350863703183369 0.587303536486745 -1.22207109455154 1.15189835391487 0 FALSE FALSE FALSE FALSE FALSE "X10b890326e2b0b15509aefb95d0d6b79" "Bacteria" "Bacteroidetes" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Sphingobacterium" "Genus_Sphingobacterium"
"4" "12322f15c5dcca422f121c2e90eb3566" 0.0604773095853035 0.807000661768103 -0.256645719961686 1.0436089492037 -2.36585808430068 1.8525666443773 0 FALSE FALSE FALSE FALSE FALSE "X12322f15c5dcca422f121c2e90eb3566" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" "Brevundimonas diminuta"
"5" "1a59d915451a33deeeedc22c0f710c24" 0.0195134090675035 0.889605616150233 -0.117030761062013 0.837786686970113 -1.81026081642353 1.57619929429951 0 FALSE FALSE FALSE FALSE FALSE "X1a59d915451a33deeeedc22c0f710c24" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" "Genus_Brevundimonas"
"6" "1c2b8892a0d7f828d72808cd01cfd199" 4.20303373350582 0.0469456988238035 -0.855712501358686 0.417394227883284 -1.69929770338948 -0.0121272993278934 0 FALSE FALSE FALSE FALSE FALSE "X1c2b8892a0d7f828d72808cd01cfd199" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Devosiaceae" "Devosia" "Genus_Devosia"
"7" "1d3c99cabc99926cf6dc4cbb5a615407" 0.00147011783838533 0.969605638928458 -0.03340432802718 0.871217651770878 -1.79420088362172 1.72739222756736 0 FALSE FALSE FALSE FALSE FALSE "X1d3c99cabc99926cf6dc4cbb5a615407" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" "Genus_Brevundimonas"
"8" "1ddc8a4694ed56884c16d791174a6390" 1.17405352792587 0.285058212996612 -0.474038169587244 0.437491242118477 -1.35824095250742 0.410164613332933 0 FALSE FALSE FALSE FALSE FALSE "X1ddc8a4694ed56884c16d791174a6390" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Ensifer" "Genus_Ensifer"
"9" "1e028b93709d3ec8abfb5e7fc3829a2b" 0.209565738418585 0.649585100708688 -0.288488679923394 0.630185832617047 -1.56214175754538 0.985164397698588 0 FALSE FALSE FALSE FALSE FALSE "X1e028b93709d3ec8abfb5e7fc3829a2b" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Pseudoflavitalea" "Genus_Pseudoflavitalea"
"10" "1fd6bc25da83cd0fb75d720b1011c0ba" 1.21365162281067 0.277195100509158 1.13518394052242 1.03043171726498 -0.947396244632858 3.21776412567769 0 FALSE FALSE FALSE FALSE FALSE "X1fd6bc25da83cd0fb75d720b1011c0ba" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "Pseudomonas otitidis"
