"Coefficient" "SE" "lwr" "upr" "Pvalue" "StageFig"
"StageHatchedEgg" 1.12995566697116 1.74624123599812 -4.17963047462 6.43954180856233 0.999132364682639 "Hatched Eggs - L.D."
"Stageday0" 0.386481428976345 1.79519162012368 -5.07194227057689 5.84490512852958 0.999999820169001 "Day 0 - L.D."
"Stageday5" 10.9061606503955 1.76182459527898 5.54919205856126 16.2631292422297 1.42545232284519e-08 "Day 5 - L.D."
"Stageday10" 10.324437529389 1.80500771312335 4.83616721398389 15.8127078447942 1.05215256951396e-07 "Day 10 - L.D."
"Stageday15" 9.68891776312396 1.92989301863214 3.82092368805232 15.5569118381956 8.09177604477185e-06 "Day 15 - L.D."
"Stageday20" 8.12818891089842 2.07065515527322 1.8321963012812 14.4241815205156 0.00221466557763872 "Day 20 - L.D."
"Stageday25" 6.77901494780774 1.95576324845908 0.832360369858694 12.7256695257568 0.0125371576004193 "Day 25 - L.D."
"Stageday30andGreater" 0.486189685890276 1.83605338647658 -5.09647748236348 6.06885685414403 0.999999078266011 "Day <U+2265>30 - L.D."
"StageHatchedEgg - Stageday0" 0.74347423799482 0.620651419401008 -1.14366604209763 2.63061451808727 0.948286789253593 "Hatched Eggs - Day 0"
"StageHatchedEgg - Stageday5" -9.77620498342433 0.516256850775013 -11.3459252281818 -8.20648473866689 0 "Hatched Eggs  - Day 5"
"StageHatchedEgg - Stageday10" -9.19448186241788 0.648496781701328 -11.1662881936432 -7.22267553119255 0 "Hatched Eggs  - Day 10"
"StageHatchedEgg - Stageday15" -8.5589620961528 0.941797374602036 -11.4225723381339 -5.69535185417173 0 "Hatched Eggs  - Day 15"
"StageHatchedEgg - Stageday20" -6.99823324392726 1.20420430305732 -10.6597127390573 -3.33675374879725 8.59097329941605e-08 "Hatched Eggs  - Day 20 "
"StageHatchedEgg - Stageday25" -5.64905928083657 0.993732919584228 -8.67058370111605 -2.6275348605571 2.22100421720661e-07 "Hatched Eggs  - Day 25"
"StageHatchedEgg - Stageday30andGreater" 0.643765981080888 0.730470580813705 -1.57728824257087 2.86482020473265 0.992403451346813 "Hatched Eggs  - Day <U+2265>30"
"Stageday0 - Stageday5" -10.5196792214191 0.663231207524335 -12.5362867528117 -8.50307169002664 0 "Day 0 - Day 5"
"Stageday0 - Stageday10" -9.9379561004127 0.77065074744597 -12.2811813343004 -7.59473086652503 0 "Day 0 - Day 10"
"Stageday0 - Stageday15" -9.30243633414762 1.02972656247634 -12.4334023043949 -6.17147036390033 0 "Day 0 - Day 15"
"Stageday0 - Stageday20" -7.74170748192208 1.27415167941805 -11.6158675692346 -3.86754739460958 1.88404418732802e-08 "Day 0 - Day 20 "
"Stageday0 - Stageday25" -6.39253351883139 1.07743195336292 -9.66855154552369 -3.1165154921391 2.98717316438157e-08 "Day 0 - Day 25"
"Stageday0 - Stageday30andGreater" -0.0997082569139313 0.840798292158331 -2.65622271086661 2.45680619703875 0.999999998430235 "Day 0 - Day <U+2265>30"
"Stageday5 - Stageday10" 0.581723121006448 0.68935877894365 -1.51432738095716 2.67777362297006 0.994353419318684 "Day 5 - Day 10"
"Stageday5 - Stageday15" 1.21724288727153 0.970386389556752 -1.7332945412151 4.16778031575816 0.933063470521961 "Day 5 - Day 15"
"Stageday5 - Stageday20" 2.77797173949707 1.22669289299787 -0.951886111973828 6.50782959096797 0.327385191911811 "Day 5 - Day 20 "
"Stageday5 - Stageday25" 4.12714570258775 1.02086853497162 1.02311327342938 7.23117813174613 0.00130833554444443 "Day 5 - Day 25"
"Stageday5 - Stageday30andGreater" 10.4199709645052 0.766977652649681 8.08791406911803 12.7520278598924 0 "Day 5 - Day <U+2265>30"
"Stageday10 - Stageday15" 0.635519766265082 1.0467457594573 -2.54719443359004 3.81823396612021 0.999456798079095 "Day 10 - Day 15"
"Stageday10 - Stageday20" 2.19624861849062 1.2879450274124 -1.71985124658407 6.11234848356532 0.710640151250936 "Day 10 - Day 20 "
"Stageday10 - Stageday25" 3.54542258158131 1.09370905893658 0.219912713557191 6.87093244960542 0.0271159883312923 "Day 10 - Day 25"
"Stageday10 - Stageday30andGreater" 9.83824784349877 0.861557693697212 7.21861276884012 12.4578829181574 0 "Day 10 - Day <U+2265>30"
"Stageday15 - Stageday20" 1.56072885222554 1.4578191288931 -2.87188680485061 5.9933445093017 0.973486300432205 "Day 15 - Day 20 "
"Stageday15 - Stageday25" 2.90990281531622 1.28943155092864 -1.01071694340106 6.83052257403351 0.332084895452387 "Day 15 - Day 25"
"Stageday15 - Stageday30andGreater" 9.20272807723369 1.09941615346472 5.85986533184606 12.5455908226213 1.33226762955019e-15 "Day 15 - Day <U+2265>30"
"Stageday20 - Stageday25" 1.34917396309068 1.49189792989492 -3.18706101403771 5.88540894021907 0.990995821504601 "Day 20 - Day 25"
"Stageday20 - Stageday30andGreater" 7.64199922500815 1.33110540048249 3.59466679366783 11.6893316563485 1.23293456333329e-07 "Day 20 - Day <U+2265>30"
"Stageday25 - Stageday30andGreater" 6.29282526191746 1.14421969007585 2.81373378009828 9.77191674373665 6.30040477789251e-07 "Day 25 - Day <U+2265>30"
