"Coefficient" "SE" "lwr" "upr" "Pvalue" "StageFig"
"StageHatchedEgg" 0.733698527470462 0.14113931085045 0.276106115342052 1.19129093959887 1.13037599003274e-05 "Hatched - L.D."
"Stageday0" 0.32483002040059 0.153788657645821 -0.173773255937549 0.823433296738728 0.597188464424768 "Day 0 - L.D."
"Stageday5" 1.55322921311194 0.14759831904397 1.07469583760897 2.03176258861492 0 "Day 5 - L.D."
"Stageday10" 1.72575757727977 0.156754561982133 1.21753844472683 2.23397670983272 0 "Day 10 - L.D."
"Stageday15" 1.45149999864507 0.163635024090636 0.92097349308728 1.98202650420287 0 "Day 15 - L.D."
"Stageday20" 1.52019534333614 0.168377951306561 0.97429163710897 2.06609904956331 0 "Day 20 - L.D."
"Stageday25" 1.5662552749717 0.172590251235696 1.0066947322929 2.12581581765051 0 "Day 25 - L.D."
"Stageday30andGreater" 1.5610294848941 0.163641636825299 1.03048153997127 2.09157742981692 0 "Day <U+2265>30 - L.D."
"StageNestEnvironment" 1.77292183812086 0.148564104588983 1.29125725746691 2.25458641877482 0 "Nest Environment - L.D."
"StageRiverEnvironment" 1.66128301689374 0.143264851009518 1.19679932095076 2.12576671283672 0 "River Environment - L.D."
"StageBlank" -2.05175896505293 0.255087702364527 -2.87878721342634 -1.22473071667953 7.88258347483861e-15 "Blank - L.D."
"StageHatchedEgg - Stageday0" 0.408868507069873 0.131728336753997 -0.0182122757234834 0.835949289863229 0.0758906134944131 "Hatched Eggs - Day 0"
"StageHatchedEgg - Stageday5" -0.819530685641483 0.122850445020529 -1.21782816300098 -0.421233208281985 2.33281549633091e-09 "Hatched Eggs  - Day 5"
"StageHatchedEgg - Stageday10" -0.992059049809311 0.134918428269947 -1.42948253346253 -0.55463556615609 2.22144524997248e-12 "Hatched Eggs - Day 10"
"StageHatchedEgg - Stageday15" -0.717801471174613 0.141714241603626 -1.17725788524952 -0.258345057099705 1.86369873300674e-05 "Hatched Eggs  - Day 15"
"StageHatchedEgg - Stageday20" -0.786496815865677 0.149399238911361 -1.27086901303501 -0.302124618696342 7.16216948837278e-06 "Hatched Eggs  - Day 20"
"StageHatchedEgg - Stageday25" -0.832556747501242 0.154418307208271 -1.33320143144114 -0.331912063561346 2.61015793046049e-06 "Hatched Eggs  - Day 25"
"StageHatchedEgg - Stageday30andGreater" -0.827330957423634 0.145079966901414 -1.29769950043198 -0.356962414415291 2.85799764854211e-07 "Hatched Eggs - Day <U+2265>30"
"StageHatchedEgg - StageNestEnvironment" -1.0392233106504 0.121242085883124 -1.43230627383366 -0.64614034746714 3.33066907387547e-16 "Hatched Eggs - Nest Environment"
"StageHatchedEgg - StageRiverEnvironment" -0.92758448942328 0.113021648906986 -1.29401570291332 -0.561153275933242 2.88657986402541e-15 "Hatched Eggs - River Environment"
"StageHatchedEgg - StageBlank" 2.7854574925234 0.232909602639199 2.03033359233326 3.54058139271354 0 "Hatched Eggs - Blank"
"Stageday0 - Stageday5" -1.22839919271136 0.136069763347834 -1.66955545777242 -0.787242927650289 0 "Day 0 - Day 5"
"Stageday0 - Stageday10" -1.40092755687918 0.147186460777891 -1.87812563312148 -0.923729480636885 0 "Day 0 - Day 10"
"Stageday0 - Stageday15" -1.12666997824449 0.153315377561734 -1.62373881762112 -0.629601138867847 1.61702873313629e-11 "Day 0 - Day 15"
"Stageday0 - Stageday20" -1.19536532293555 0.160688363766843 -1.71633836392587 -0.674392281945232 1.06914477271403e-12 "Day 0 - Day 20 "
"Stageday0 - Stageday25" -1.24142525457111 0.165396868374699 -1.7776638935585 -0.705186615583725 4.95825602797595e-13 "Day 0 - Day 25"
"Stageday0 - Stageday30andGreater" -1.23619946449351 0.156793521576119 -1.74454490923035 -0.727854019756661 4.39648317751562e-14 "Day 0 - Day <U+2265>30"
"Stageday0 - StageNestEnvironment" -1.44809181772027 0.134322400630331 -1.88358290051605 -1.0126007349245 0 "Day 0 - Nest Environment"
"Stageday0 - StageRiverEnvironment" -1.33645299649315 0.126775765852822 -1.74747688591463 -0.925429107071673 0 "Day 0 - River Environment"
"Stageday0 - StageBlank" 2.37658898545352 0.23913059730562 1.60129579339075 3.1518821775163 0 "Day0 - Blank"
"Stageday5 - Stageday10" -0.172528364167828 0.139080156776865 -0.623444724997715 0.278387996662058 0.984151590354674 "Day 5 - Day 10"
"Stageday5 - Stageday15" 0.10172921446687 0.145329297377141 -0.369447691095588 0.572906120029328 0.999914043867765 "Day 5 - Day 15"
"Stageday5 - Stageday20" 0.0330338697758055 0.153516218350902 -0.464686122143774 0.530753861695385 0.999999999677891 "Day 5 - Day 20"
"Stageday5 - Stageday25" -0.0130260618597591 0.158493953126878 -0.526884531779189 0.500832408059671 0.999999999999992 "Day 5 - Day 25"
"Stageday5 - Stageday30andGreater" -0.00780027178215104 0.149634203449972 -0.492934255227327 0.477333711663025 1 "Day 5 - Day <U+2265>30"
"Stageday5 - StageNestEnvironment" -0.21969262500892 0.124590670707371 -0.623632145431344 0.184246895413505 0.827387385071639 "Day 5 - Nest Environment"
"Stageday5 - StageRiverEnvironment" -0.108053803781798 0.116090650041854 -0.484435127015655 0.26832751945206 0.998676158187508 "Day 5 - River Environment"
"Stageday5 - StageBlank" 3.60498817816488 0.232331536894392 2.85173844398095 4.35823791234881 0 "Day 5 - Blank"
"Stageday10 - Stageday15" 0.274257578634698 0.155993220312895 -0.231493182996065 0.780008340265461 0.829681043923083 "Day 10 - Day 15"
"Stageday10 - Stageday20" 0.205562233943634 0.163317328410726 -0.323934259978019 0.735058727865286 0.982308626717195 "Day 10 - Day 20"
"Stageday10 - Stageday25" 0.159502302308069 0.16796164832468 -0.385051694298814 0.704056298914953 0.998399407988674 "Day 10 - Day 25"
"Stageday10 - Stageday30andGreater" 0.164728092385677 0.159520186579662 -0.352457562839086 0.68191374761044 0.996623550466339 "Day 10 - Day <U+2265>30"
"Stageday10 - StageNestEnvironment" -0.0471642608410912 0.137283227260086 -0.492254737251868 0.397926215569685 0.999999948652791 "Day 10 - Nest Environment"
"Stageday10 - StageRiverEnvironment" 0.0644745603860308 0.129856716238678 -0.356538179839784 0.485487300611845 0.999997442969383 "Day 10 - River Environment"
"Stageday10 - StageBlank" 3.77751654233271 0.240550978140391 2.99761828674505 4.55741479792036 0 "Day 10 - Blank"
"Stageday15 - Stageday20" -0.0686953446910645 0.168990895858084 -0.616586298653413 0.479195609271284 0.999999690307225 "Day 15 - Day 20"
"Stageday15 - Stageday25" -0.114755276326629 0.173525435558091 -0.677347810923851 0.447837258270593 0.999951223514385 "Day 15 - Day 25"
"Stageday15 - Stageday30andGreater" -0.109529486249021 0.165472607336708 -0.646013681021747 0.426954708523705 0.999950813213121 "Day 15 - Day <U+2265>30"
"Stageday15 - StageNestEnvironment" -0.32142183947579 0.14322397156927 -0.785772998838022 0.142929319886443 0.499812816015246 "Day 15 - Nest Environment"
"Stageday15 - StageRiverEnvironment" -0.209783018248668 0.135893983746313 -0.650369382469361 0.230803345972026 0.922419191915773 "Day 15 - River Environment"
"Stageday15 - StageBlank" 3.50325896369801 0.24283128399196 2.71596765334253 4.29055027405349 0 "Day 15 - Blank"
"Stageday20 - Stageday25" -0.0460599316355645 0.179742741260107 -0.628809797992323 0.536689934721194 0.999999997851925 "Day 20 - Day 25"
"Stageday20 - Stageday30andGreater" -0.0408341415579565 0.171776203933214 -0.597755434643682 0.516087151527769 0.999999999038688 "Day 20 - Day <U+2265>30"
"Stageday20 - StageNestEnvironment" -0.252726494784725 0.152269489952138 -0.746404427466363 0.240951437896913 0.877933751173065 "Day 20 - Nest Environment"
"Stageday20 - StageRiverEnvironment" -0.141087673557603 0.145830687122247 -0.61389015134014 0.331714804224934 0.998103224144702 "Day 20 - River Environment"
"Stageday20 - StageBlank" 3.57195430838907 0.250581391783207 2.75953611809432 4.38437249868383 0 "Day 20 - Blank"
"Stageday25 - Stageday30andGreater" 0.00522579007760804 0.176116356964275 -0.565766856215971 0.576218436371187 1 "Day 25 - Day <U+2265>30"
"Stageday25 - StageNestEnvironment" -0.20666656314916 0.157383717083358 -0.71692550019483 0.303592373896509 0.975373386927991 "Day 25 - Nest Environment"
"Stageday25 - StageRiverEnvironment" -0.0950277419220384 0.151219457796203 -0.585301330738377 0.3952458468943 0.99997093617887 "Day 25 - River Environment"
"Stageday25 - StageBlank" 3.61801424002464 0.254027802079203 2.79442232930411 4.44160615074517 0 "Day 25 - Blank"
"Stageday30andGreater - StageNestEnvironment" -0.211892353226768 0.148700739723795 -0.693999923155245 0.270215216701708 0.954997915020429 "Day <U+2265>30 - Nest Environment"
"Stageday30andGreater - StageRiverEnvironment" -0.100253531999646 0.142302329842136 -0.561616606337966 0.361109542338673 0.999908158654817 "Day <U+2265>30 - River Environment"
"Stageday30andGreater - StageBlank" 3.61278844994703 0.249478663113144 2.80394545262308 4.42163144727098 0 "Day <U+2265>30 - Blank"
"StageNestEnvironment - StageRiverEnvironment" 0.111638821227122 0.111839015031804 -0.250958135992648 0.474235778446892 0.997499418054081 "Nest Environment - River Environment"
"StageNestEnvironment - StageBlank" 3.8246808031738 0.227942732867873 3.08566015519379 4.56370145115381 0 "Nest Environment - Blank"
"StageRiverEnvironment - StageBlank" 3.71304198194668 0.22163406415266 2.99447487676292 4.43160908713044 0 "River Environment - Blank"
