""	"Featureid2"	"Featureid"	"tubeID"	"IndID"	"NestID"	"SampleForm"	"Age"	"SimpleAge"	"Stage1"	"SampleForm2"	"EggViability"	"IE_XE"	"Poo_Cloaca"	"EmbrioMortality"	"TurtleMortalityRate"	"DayDeath"	"Worm"	"Eye"	"Bloated"	"DeformedPls"	"W"	"PW"	"PL"	"CW"	"CL"	"WT"	"VisualInsp"	"TEFPCR"	"PCRControl"	"Stage"	"betadist"	"SourceSinkRiver"	"source"	"Unknown"	"SampleFrom"
"1"	"1002"	"1002"	"Pu.ACN3T1.0"	"H1N3"	"10"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"RVE"	NA	"C"	"H"	"EM"	"0"	""	"A"	"A"	"A"	16	"2,6"	"3,3"	"3"	"3,8"	NA	"HviUn"	"HFiNeg"	"Sample"	"day0"	21.4286230327057	"sink"	0.99422	0.00578	"Hatchling cloaca"
"2"	"1004"	"1004"	"Pu.ACN3T2.0"	"H2N3"	"10"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"0/1"	"H"	"EM"	"3"	""	"A"	"A"	"P"	14	"2,5"	"3,6"	"3,1"	"3,7"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	22.3405528291011	"sink"	0.99253	0.00747	"Hatchling cloaca"
"3"	"1005"	"1005"	"Pu.ACN3T2.1"	"H2N3"	"10"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"0/1"	"H"	"EM"	"3"	""	"A"	"A"	"P"	14	"2,5"	"3,6"	"3,1"	"3,7"	"26,8"	"HviH"	"HFiNeg"	"Sample"	"day5"	32.8602244392891	"sink"	0.05524	0.94476	"Hatchling cloaca"
"4"	"103"	"103"	"Pu.ACN1T1.1"	"H1N1"	"1"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	15	"2,8"	"3,9"	"3,4"	"4,4"	"27,6"	"HviH"	"HFiNeg"	"Sample"	"day5"	35.6418507540964	"sink"	0.31096	0.68904	"Hatchling cloaca"
"5"	"104"	"104"	"Pu.ACN1T1.2"	"H1N1"	"1"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	15	"2,8"	"3,9"	"3,5"	"4,3"	"25,3"	"HviH"	"HFiNeg"	"Sample"	"day10"	33.2459091486339	"sink"	0.0027	0.9973	"Hatchling cloaca"
"6"	"105"	"105"	"Pu.ACN1T1.3"	"H1N1"	"1"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	16	"2,8"	"3,9"	"3,7"	"4,4"	"26,5"	"HviH"	"HFiNeg"	"Sample"	"day15"	27.9508094100794	"sink"	0.00056	0.99944	"Hatchling cloaca"
"7"	"106"	"106"	"Pu.ACN1T1.4"	"H1N1"	"1"	"Turtle"	"20"	">10"	"day20"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	16	"2,8"	"3,8"	"3,7"	"4,6"	"26,6"	"HviH"	"HFiNeg"	"Sample"	"day20"	33.835936272597	"sink"	0.00286	0.99714	"Hatchling cloaca"
"8"	"107"	"107"	"Pu.ACN1T1.5"	"H1N1"	"1"	"Turtle"	"25"	">10"	"day25"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	17	"2,8"	"3,8"	"3,9"	"4,6"	"24,4"	"HviH"	"HFiNeg"	"Sample"	"day25"	30.8405861725009	"sink"	0.0035	0.9965	"Hatchling cloaca"
"9"	"109"	"109"	"Pu.ACN1T1.7"	"H1N1"	"1"	"Turtle"	"62"	">30"	"day30andGreater"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	20	"2,9"	"4,1"	"4,2"	"4,8"	NA	"HviH"	"HFiNeg"	"Sample"	"day30andGreater"	21.6196483087405	"sink"	0.00026	0.99974	"Hatchling cloaca"
"10"	"111"	"111"	"Pu.ACN1T2.0"	"H2N1"	"1"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"C"	"H"	"EM"	"2"	"P"	"A"	"A"	"A"	15	"2,8"	"3,6"	"3,3"	"4"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	24.3811698985738	"sink"	0.96077	0.03923	"Hatchling cloaca"
