""	"Featureid2"	"Featureid"	"tubeID"	"IndID"	"NestID"	"SampleForm"	"Age"	"SimpleAge"	"Stage1"	"SampleForm2"	"EggViability"	"IE_XE"	"Poo_Cloaca"	"EmbrioMortality"	"TurtleMortalityRate"	"DayDeath"	"Worm"	"Eye"	"Bloated"	"DeformedPls"	"W"	"PW"	"PL"	"CW"	"CL"	"WT"	"VisualInsp"	"TEFPCR"	"PCRControl"	"Stage"	"betadist"	"source"	"Unknown"	"SampleFrom"
"1"	"1001"	"1001"	"Pu.ACN3H1"	"H1N3"	"10"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"RVE"	"IE"	NA	"H"	NA	"0"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviUn"	"EFiNeg"	"Sample"	"HatchedEgg"	21.8547249498258	0.68002	0.31998	"Inner eggshell"
"2"	"1002"	"1002"	"Pu.ACN3T1.0"	"H1N3"	"10"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"RVE"	NA	"C"	"H"	"EM"	"0"	""	"A"	"A"	"A"	16	"2,6"	"3,3"	"3"	"3,8"	NA	"HviUn"	"HFiNeg"	"Sample"	"day0"	21.4286230327057	0.70265	0.29735	"Hatchling cloaca"
"3"	"1003"	"1003"	"Pu.ACN3H2"	"H2N3"	"10"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	"3"	NA	NA	"A"	"P"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"HatchedEgg"	24.295175516286	0.81234	0.18766	"Inner eggshell"
"4"	"1004"	"1004"	"Pu.ACN3T2.0"	"H2N3"	"10"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"0/1"	"H"	"EM"	"3"	""	"A"	"A"	"P"	14	"2,5"	"3,6"	"3,1"	"3,7"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	22.3405528291011	0.56908	0.43092	"Hatchling cloaca"
"5"	"1005"	"1005"	"Pu.ACN3T2.1"	"H2N3"	"10"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"0/1"	"H"	"EM"	"3"	""	"A"	"A"	"P"	14	"2,5"	"3,6"	"3,1"	"3,7"	"26,8"	"HviH"	"HFiNeg"	"Sample"	"day5"	32.8602244392891	0.02292	0.97708	"Hatchling cloaca"
"6"	"101"	"101"	"Pu.ACN1H1"	"H1N1"	"1"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	">30"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"HatchedEgg"	20.3747961256756	0.45528	0.54472	"Inner eggshell"
"7"	"103"	"103"	"Pu.ACN1T1.1"	"H1N1"	"1"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	15	"2,8"	"3,9"	"3,4"	"4,4"	"27,6"	"HviH"	"HFiNeg"	"Sample"	"day5"	35.6418507540964	0.03098	0.96902	"Hatchling cloaca"
"8"	"104"	"104"	"Pu.ACN1T1.2"	"H1N1"	"1"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	15	"2,8"	"3,9"	"3,5"	"4,3"	"25,3"	"HviH"	"HFiNeg"	"Sample"	"day10"	33.2459091486339	0.00049	0.99951	"Hatchling cloaca"
"9"	"105"	"105"	"Pu.ACN1T1.3"	"H1N1"	"1"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	16	"2,8"	"3,9"	"3,7"	"4,4"	"26,5"	"HviH"	"HFiNeg"	"Sample"	"day15"	27.9508094100794	0.00039	0.99961	"Hatchling cloaca"
"10"	"106"	"106"	"Pu.ACN1T1.4"	"H1N1"	"1"	"Turtle"	"20"	">10"	"day20"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	16	"2,8"	"3,8"	"3,7"	"4,6"	"26,6"	"HviH"	"HFiNeg"	"Sample"	"day20"	33.835936272597	0.00122	0.99878	"Hatchling cloaca"
