,,,,,,,,
,,source,,mean%,,,,
UnhatchedEgg,,0.00034,,0.424466666666667,,,,
UnhatchedEgg,,0.06121,,,,,,
UnhatchedEgg,,0.0002,,,,,,
UnhatchedEgg,,0.00044,,,,,,
UnhatchedEgg,,0.00025,,,,,,
UnhatchedEgg,,5E-05,,,,,,
UnhatchedEgg,,7E-05,,,,,,
UnhatchedEgg,,0.00012,,,,,,
UnhatchedEgg,,9E-05,,,,,,
UnhatchedEgg,,0.0001,,,,,,
UnhatchedEgg,,0.00023,,,,,,
UnhatchedEgg,,0.00011,,,,,,
UnhatchedEgg,,0.00027,,,,,,
UnhatchedEgg,,0.00015,,,,,,
UnhatchedEgg,,4E-05,,,,,,
,,,,,,,,
,,,,,,,,
HatchedEgg,,0.00026,,0.02576,,,,
HatchedEgg,,0.00042,,,,,,
HatchedEgg,,0.00028,,,,,,
HatchedEgg,,0.00033,,,,,,
HatchedEgg,,0.00028,,,,,,
HatchedEgg,,0.00024,,,,,,
HatchedEgg,,0.00034,,,,,,
HatchedEgg,,0.00026,,,,,,
HatchedEgg,,0.00022,,,,,,
HatchedEgg,,0.00028,,,,,,
HatchedEgg,,0.00017,,,,,,
HatchedEgg,,0.00027,,,,,,
HatchedEgg,,0.00015,,,,,,
HatchedEgg,,0.00037,,,,,,
HatchedEgg,,0.00011,,,,,,
HatchedEgg,,0.00028,,,,,,
HatchedEgg,,0.00014,,,,,,
HatchedEgg,,0.00017,,,,,,
HatchedEgg,,0.00013,,,,,,
HatchedEgg,,0.00035,,,,,,
HatchedEgg,,0.00027,,,,,,
HatchedEgg,,0.00024,,,,,,
HatchedEgg,,0.00018,,,,,,
HatchedEgg,,0.00027,,,,,,
HatchedEgg,,0.00043,,,,,,
,,,,,,,,
,,,,,,,,
day0,,0.00034,,0.023941176470588,,,,
day0,,0.00031,,,,,,
day0,,0.00018,,,,,,
day0,,0.0003,,,,,,
day0,,0.00036,,,,,,
day0,,0.00018,,,,,,
day0,,0.00023,,,,,,
day0,,0.00028,,,,,,
day0,,0.00019,,,,,,
