"Coefficient" "lwr" "upr" "Pvalue" "StageFig"
"HatchedEgg - UnhatchedEgg" 0.444140890029602 -0.935072900014405 1.82335468007361 0.991017049245885 "HatchedEgg - UnhatchedEgg"
"day0 - UnhatchedEgg" 0.165041424748909 -1.33093227261791 1.66101512211572 0.999998699937527 "day0 - UnhatchedEgg"
"day5 - UnhatchedEgg" -0.706378677725026 -2.13404885456725 0.721291499117195 0.862870664762832 "day5 - UnhatchedEgg"
"day10 - UnhatchedEgg" -3.46020826970033 -5.00367816500797 -1.91673837439269 2.02757810541243e-11 "day10 - UnhatchedEgg"
"day15 - UnhatchedEgg" -3.25582683439356 -4.85736155294148 -1.65429211584565 1.64782060219082e-08 "day15 - UnhatchedEgg"
"day20 - UnhatchedEgg" -6.05351373209026 -7.75473951433017 -4.35228794985035 0 "day20 - UnhatchedEgg"
"day25 - UnhatchedEgg" -4.1358514700195 -5.86376328321479 -2.4079396568242 2.75668377014426e-13 "day25 - UnhatchedEgg"
"day30andGreater - UnhatchedEgg" -6.43387800482517 -8.10354113685229 -4.76421487279805 0 "day30andGreater - UnhatchedEgg"
"RiverEnvironment - UnhatchedEgg" -3.40983660193107 -4.72560808458677 -2.09406511927537 1.33226762955019e-15 "RiverEnvironment - UnhatchedEgg"
"day0 - HatchedEgg" -0.279099465280693 -1.6066350059931 1.04843607543172 0.999676271817947 "day0 - HatchedEgg"
"day5 - HatchedEgg" -1.15051956775463 -2.40058174320289 0.0995426076936377 0.101199681393303 "day5 - HatchedEgg"
"day10 - HatchedEgg" -3.90434915972993 -5.28518681360708 -2.52351150585279 0 "day10 - HatchedEgg"
"day15 - HatchedEgg" -3.69996772442317 -5.14541809138855 -2.25451735745779 4.21884749357559e-15 "day15 - HatchedEgg"
"day20 - HatchedEgg" -6.49765462211986 -8.05283386284706 -4.94247538139266 0 "day20 - HatchedEgg"
"day25 - HatchedEgg" -4.5799923600491 -6.16431951781184 -2.99566520228635 0 "day25 - HatchedEgg"
"day30andGreater - HatchedEgg" -6.87801889485477 -8.39860703208607 -5.35743075762347 0 "day30andGreater - HatchedEgg"
"RiverEnvironment - HatchedEgg" -3.85397749196068 -4.97454337722591 -2.73341160669544 0 "RiverEnvironment - HatchedEgg"
"day5 - day0" -0.871420102473935 -2.24923070885391 0.506390503906041 0.595130001086928 "day5 - day0"
"day10 - day0" -3.62524969444924 -5.12272064606459 -2.1277787428339 2.08721928629529e-13 "day10 - day0"
"day15 - day0" -3.42086825914247 -4.97812012956267 -1.86361638872227 5.65160140908461e-11 "day15 - day0"
"day20 - day0" -6.21855515683917 -7.87816025907179 -4.55895005460655 0 "day20 - day0"
"day25 - day0" -4.3008928947684 -5.98784255833025 -2.61394323120656 4.9960036108132e-15 "day25 - day0"
"day30andGreater - day0" -6.59891942957408 -8.22615478675377 -4.97168407239439 0 "day30andGreater - day0"
"RiverEnvironment - day0" -3.57487802667998 -4.83637496594968 -2.31338108741028 0 "RiverEnvironment - day0"
"day10 - day5" -2.75382959197531 -4.18306857883598 -1.32459060511463 2.09701026543385e-08 "day10 - day5"
"day15 - day5" -2.54944815666854 -4.04120491249639 -1.05769140084069 2.83561118852305e-06 "day15 - day5"
"day20 - day5" -5.34713505436523 -6.94544476339875 -3.74882534533172 0 "day20 - day5"
"day25 - day5" -3.42947279229447 -5.05615776426114 -1.8027878203278 9.22643295098169e-10 "day25 - day5"
"day30andGreater - day5" -5.72749932710014 -7.29217173316082 -4.16282692103947 0 "day30andGreater - day5"
"RiverEnvironment - day5" -2.70345792420605 -3.88315252808303 -1.52376332032907 5.10835818090527e-12 "RiverEnvironment - day5"
"day15 - day10" 0.204381435306768 -1.39855193899078 1.80731480960432 0.999995369875987 "day15 - day10"
"day20 - day10" -2.59330546238993 -4.29584800513837 -0.890762919641483 4.95025440676589e-05 "day20 - day10"
"day25 - day10" -0.675643200319163 -2.40485145322021 1.05356505258189 0.965970208475597 "day25 - day10"
"day30andGreater - day10" -2.97366973512484 -4.6446744993808 -1.30266497086887 5.38166505026361e-07 "day30andGreater - day10"
"RiverEnvironment - day10" 0.0503716677692592 -1.26710187742845 1.36784521296697 0.999999999896583 "RiverEnvironment - day10"
"day20 - day15" -2.7976868976967 -4.55304020881774 -1.04233358657565 5.0981653015425e-05 "day20 - day15"
"day25 - day15" -0.88002463562593 -2.66125323378412 0.901203962532261 0.863949303806451 "day25 - day15"
"day30andGreater - day15" -3.1780511704316 -4.9028326230109 -1.45326971785231 1.30735509862312e-07 "day30andGreater - day15"
"RiverEnvironment - day15" -0.154009767537509 -1.53905513837969 1.23103560330468 0.99999860173404 "RiverEnvironment - day15"
"day25 - day20" 1.91766226207077 0.0462908327901121 3.78903369135142 0.0391050008427628 "day25 - day20"
"day30andGreater - day20" -0.380364272734909 -2.19808998542912 1.4373614399593 0.999688220640175 "day30andGreater - day20"
"RiverEnvironment - day20" 2.64367713015919 1.14447521356298 4.1428790467554 6.19474617602478e-07 "RiverEnvironment - day20"
"day30andGreater - day25" -2.29802653480567 -4.14075191820543 -0.455301151405921 0.0030955604391838 "day30andGreater - day25"
"RiverEnvironment - day25" 0.726014868088422 -0.803402164233215 2.25543190041006 0.89014554805171 "RiverEnvironment - day25"
"RiverEnvironment - day30andGreater" 3.0240414028941 1.56075325662161 4.48732954916658 1.85603676872148e-09 "RiverEnvironment - day30andGreater"
