"Coefficient" "lwr" "upr" "Pvalue" "StageFig"
"day5 - day0" -0.894000522020228 -2.01717844714034 0.229177403099888 0.221733865281633 "day5 - day0"
"day10 - day0" -3.16220108565953 -4.38239528730216 -1.9420068840169 3.51385587293862e-13 "day10 - day0"
"day15 - day0" -3.51324587611469 -4.78271132422285 -2.24378042800654 3.88578058618805e-15 "day15 - day0"
"day20 - day0" -6.13873273908939 -7.48840425064357 -4.78906122753521 0 "day20 - day0"
"day25 - day0" -4.08895916528489 -5.46329513557816 -2.71462319499162 0 "day25 - day0"
"day30andGreater - day0" -6.71673175588243 -8.04405377904956 -5.3894097327153 0 "day30andGreater - day0"
"day10 - day5" -2.2682005636393 -3.43274766082723 -1.10365346645138 2.60130258222802e-07 "day10 - day5"
"day15 - day5" -2.61924535409447 -3.83532042405585 -1.40317028413308 1.81538384325108e-09 "day15 - day5"
"day20 - day5" -5.24473221706916 -6.54431262664201 -3.94515180749631 0 "day20 - day5"
"day25 - day5" -3.19495864326466 -4.52013614499146 -1.86978114153787 6.53210818768457e-12 "day25 - day5"
"day30andGreater - day5" -5.8227312338622 -7.09908534030297 -4.54637712742143 0 "day30andGreater - day5"
"day15 - day10" -0.351044790455163 -1.65725450333863 0.955164922428307 0.985751441535554 "day15 - day10"
"day20 - day10" -2.97653165342986 -4.36082009128998 -1.59224321556974 1.88830995284661e-09 "day20 - day10"
"day25 - day10" -0.926758079625361 -2.33510485841703 0.481588699166305 0.453726767278625 "day25 - day10"
"day30andGreater - day10" -3.5545306702229 -4.91703756682036 -2.19202377362543 1.13686837721616e-13 "day30andGreater - day10"
"day20 - day15" -2.6254868629747 -4.05339551320683 -1.19757821274256 1.26649637244292e-06 "day20 - day15"
"day25 - day15" -0.575713289170197 -2.02695733602961 0.875530757689219 0.905593624191956 "day25 - day15"
"day30andGreater - day15" -3.20348587976773 -4.61028852317244 -1.79668323636303 1.37979072611927e-10 "day30andGreater - day15"
"day25 - day20" 2.0497735738045 0.527873462526059 3.57167368508294 0.00134894030703592 "day25 - day20"
"day30andGreater - day20" -0.577999016793038 -2.05758150609637 0.901583472510295 0.911735301218083 "day30andGreater - day20"
"day30andGreater - day25" -2.62777259059754 -4.12988793663195 -1.12565724456312 3.73171060352728e-06 "day30andGreater - day25"
