"Coefficient" "SE" "lwr" "upr" "Pvalue" "StageFig"
"StageHatchedEgg" 3.23928220606762 3.86875485003191 -8.64002598078052 15.1185903929158 0.995206634919197 "Hatched Eggs - L.D."
"Stageday0" -0.0618617476291945 3.87207038936302 -11.9513505520266 11.8276270567682 1 "Day 0 - L.D."
"Stageday5" 21.0323969329016 3.99725316030748 8.75852483895034 33.3062690268529 1.61690994375796e-05 "Day 5 - L.D."
"Stageday10" 25.2440291935189 4.2459933982213 12.2063811408444 38.2816772461934 1.58926781734792e-07 "Day 10 - L.D."
"Stageday15" 18.9758436037006 4.53713304206124 5.04422896781 32.9074582395913 0.000914071524010462 "Day 15 - L.D."
"Stageday20" 19.3784689260817 4.44598947244363 5.72671760402404 33.0302202481394 0.000352859987390097 "Day 20 - L.D."
"Stageday25" 17.1414077877013 4.03815882700485 4.74193171000767 29.5408838653949 0.000650273846767191 "Day 25 - L.D."
"Stageday30andGreater" 13.4348869656428 4.0661317052082 0.949518022174038 25.9202559091116 0.0239491453251393 "Day <U+2265>30 - L.D."
"StageHatchedEgg - Stageday0" 3.30114395369682 1.86046964262917 -2.41157063117404 9.01385853856768 0.681353196865125 "Hatched Eggs - Day 0"
"StageHatchedEgg - Stageday5" -17.793114726834 2.10866095391149 -24.2679197491479 -11.3183097045201 1.88737914186277e-15 "Hatched Eggs  - Day 5"
"StageHatchedEgg - Stageday10" -22.0047469874513 2.54889743393132 -29.8313318521105 -14.1781621227921 2.22044604925031e-16 "Hatched Eggs  - Day 10"
"StageHatchedEgg - Stageday15" -15.736561397633 3.00898561517444 -24.9758822742596 -6.49724052100644 2.91324061518772e-06 "Hatched Eggs  - Day 15"
"StageHatchedEgg - Stageday20" -16.1391867200141 2.86971088788442 -24.9508538754172 -7.32751956461101 3.83017147109754e-07 "Hatched Eggs  - Day 20 "
"StageHatchedEgg - Stageday25" -13.9021255816337 2.18521049399823 -20.6119818319271 -7.19226933134022 8.47411762983086e-09 "Hatched Eggs  - Day 25"
"StageHatchedEgg - Stageday30andGreater" -10.1956047595752 2.2364805465423 -17.0628896344613 -3.32831988468904 0.000214027745051304 "Hatched Eggs  - Day <U+2265>30"
"Stageday0 - Stageday5" -21.0942586805308 2.11473781568483 -27.5877231725223 -14.6007941885393 0 "Day 0 - Day 5"
"Stageday0 - Stageday10" -25.3058909411481 2.5539270035062 -33.1479194845472 -17.463862397749 0 "Day 0 - Day 10"
"Stageday0 - Stageday15" -19.0377053513298 3.01324732520635 -28.290112135137 -9.78529856752265 1.00741252007097e-08 "Day 0 - Day 15"
"Stageday0 - Stageday20" -19.4403306737109 2.87417911595274 -28.2657178657486 -10.6149434816732 1.81832771062318e-10 "Day 0 - Day 20 "
"Stageday0 - Stageday25" -17.2032695353305 2.19107505887327 -23.9311333814094 -10.4754056892516 3.37507799486048e-14 "Day 0 - Day 25"
"Stageday0 - Stageday30andGreater" -13.496748713272 2.24221101718787 -20.3816294373378 -6.61186798920616 3.90794667737282e-08 "Day 0 - Day <U+2265>30"
"Stageday5 - Stageday10" -4.2116322606173 2.74000855229402 -12.625038456937 4.20177393570238 0.825654425965397 "Day 5 - Day 10"
"Stageday5 - Stageday15" 2.05655332920097 3.17250109066482 -7.6848543432982 11.7979610017001 0.999221201045549 "Day 5 - Day 15"
"Stageday5 - Stageday20" 1.65392800681986 3.04072513029131 -7.68285148282045 10.9907074964602 0.999787938223049 "Day 5 - Day 20 "
"Stageday5 - Stageday25" 3.8909891452003 2.40539261681388 -3.49495318331542 11.276931473716 0.780805427074808 "Day 5 - Day 25"
"Stageday5 - Stageday30andGreater" 7.59750996725879 2.4520632073837 0.0682620145480968 15.1267579199695 0.0461488755390512 "Day 5 - Day <U+2265>30"
"Stageday10 - Stageday15" 6.26818558981827 3.48068819063417 -4.41953418610011 16.9559053657367 0.663100167273949 "Day 10 - Day 15"
"Stageday10 - Stageday20" 5.86556026743716 3.36101717165144 -4.45470047563029 16.1858210105046 0.700606165483034 "Day 10 - Day 20 "
"Stageday10 - Stageday25" 8.1026214058176 2.79934648644527 -0.492986463722014 16.6982292753572 0.0825358519036909 "Day 10 - Day 25"
"Stageday10 - Stageday30andGreater" 11.8091422278761 2.83954945073256 3.09008807618456 20.5281963795676 0.0010260542300099 "Day 10 - Day <U+2265>30"
"Stageday15 - Stageday20" -0.402625322381109 3.72203610027642 -11.8314223466726 11.0261717019104 0.999999999339778 "Day 15 - Day 20 "
"Stageday15 - Stageday25" 1.83443581599933 3.22388849912625 -8.06476083142851 11.7336324634272 0.999702273875951 "Day 15 - Day 25"
"Stageday15 - Stageday30andGreater" 5.54095663805782 3.25885829498318 -4.46561744689676 15.5475307230124 0.730227726059169 "Day 15 - Day <U+2265>30"
"Stageday20 - Stageday25" 2.23706113838044 3.0943017310072 -7.26422940873941 11.7383516855003 0.998290010134244 "Day 20 - Day 25"
"Stageday20 - Stageday30andGreater" 5.94358196043893 3.13071933179841 -3.66953162018764 15.5566955410655 0.594579672433164 "Day 20 - Day <U+2265>30"
"Stageday25 - Stageday30andGreater" 3.70652082205849 2.51819535730132 -4.02579096394828 11.4388326080653 0.857821571590565 "Day 25 - Day <U+2265>30"
