"Coefficient" "SE" "lwr" "upr" "Pvalue" "StageFig"
"StageHatchedEgg" 0.297331137408983 0.0742632172494234 0.0561376758370299 0.538524598980935 0.00340036589495507 "Hatched - L.D."
"Stageday0" 0.163131755709567 0.0806903869176662 -0.0989359873412929 0.425199498760428 0.666891604386242 "Day 0 - L.D."
"Stageday5" 0.551905038703565 0.0780195649262553 0.298511641112144 0.805298436294986 1.43376421846142e-11 "Day 5 - L.D."
"Stageday10" 0.637363023688743 0.0831822391138925 0.367202196616019 0.907523850761467 2.6700863742235e-13 "Day 10 - L.D."
"Stageday15" 0.476459857868524 0.0868004433773745 0.194547759529803 0.758371956207245 8.4220389584555e-07 "Day 15 - L.D."
"Stageday20" 0.502415556075763 0.0895520460304305 0.211566751338609 0.793264360812917 5.46399855028135e-07 "Day 20 - L.D."
"Stageday25" 0.451245991013249 0.0918978921263741 0.152778303588919 0.74971367843758 3.30356691722322e-05 "Day 25 - L.D."
"Stageday30andGreater" 0.464747135278414 0.0870229079928124 0.182112512213966 0.747381758342862 2.31430976538327e-06 "Day <U+2265>30 - L.D."
"StageNestEnvironment" 0.654844346295912 0.078476142570057 0.399968067320359 0.909720625271464 1.55431223447522e-15 "Nest Environment - L.D."
"StageRiverEnvironment" 0.697588097737183 0.0754414990864059 0.452567790446782 0.942608405027584 0 "River Environment - L.D."
"StageBlank" -1.01503594005757 0.112307933146756 -1.37979173923981 -0.650280140875332 0 "Blank - L.D."
"StageHatchedEgg - Stageday0" 0.134199381699415 0.0698807180634634 -0.0927605173075359 0.361159280706366 0.735730509314404 "Hatched Eggs - Day 0"
"StageHatchedEgg - Stageday5" -0.254573901294582 0.065988033399256 -0.468891066472553 -0.040256736116612 0.0060119291796672 "Hatched Eggs  - Day 5"
"StageHatchedEgg - Stageday10" -0.340031886279761 0.0726170083921976 -0.575878760032724 -0.104185012526797 0.000153463037892987 "Hatched Eggs - Day 10"
"StageHatchedEgg - Stageday15" -0.179128720459542 0.0761668838508969 -0.426504945912383 0.0682475049932995 0.427137561678482 "Hatched Eggs  - Day 15"
"StageHatchedEgg - Stageday20" -0.205084418666781 0.0803969632905429 -0.466199174990777 0.0560303376572164 0.296425959817691 "Hatched Eggs  - Day 20"
"StageHatchedEgg - Stageday25" -0.153914853604267 0.0831478833053817 -0.423964099241568 0.116134392033034 0.779834452566962 "Hatched Eggs  - Day 25"
"StageHatchedEgg - Stageday30andGreater" -0.167415997869432 0.0780873609139687 -0.42102958453376 0.086197588794897 0.577991079089305 "Hatched Eggs - Day <U+2265>30"
"StageHatchedEgg - StageNestEnvironment" -0.357513208886929 0.06514873891316 -0.569104497784858 -0.145921919989 7.84575016288258e-07 "Hatched Eggs - Nest Environment"
"StageHatchedEgg - StageRiverEnvironment" -0.4002569603282 0.0606270903729418 -0.597162754794019 -0.203351165862381 5.08187936176796e-10 "Hatched Eggs - River Environment"
"StageHatchedEgg - StageBlank" 1.31236707746655 0.0988726188058965 0.991246742693236 1.63348741223987 0 "Hatched Eggs - Blank"
"Stageday0 - Stageday5" -0.388773282993998 0.0725717585561297 -0.624473193485726 -0.153073372502269 6.40182133793132e-06 "Day 0 - Day 5"
"Stageday0 - Stageday10" -0.474231267979176 0.0787170457512262 -0.729889956798013 -0.218572579160339 2.40313275945425e-08 "Day 0 - Day 10"
"Stageday0 - Stageday15" -0.313328102158957 0.0819365434789991 -0.579443135723491 -0.0472130685944228 0.00730479281008889 "Day 0 - Day 15"
"Stageday0 - Stageday20" -0.339283800366196 0.0860126145585738 -0.618637173578661 -0.0599304271537306 0.00432576473392288 "Day 0 - Day 20 "
"Stageday0 - Stageday25" -0.288114235303682 0.0886065582952775 -0.575892267346603 -0.000336203260760726 0.0500642175342952 "Day 0 - Day 25"
"Stageday0 - Stageday30andGreater" -0.301615379568847 0.083918284125761 -0.574166747354197 -0.029064011783497 0.0156668583028099 "Day 0 - Day <U+2265>30"
"Stageday0 - StageNestEnvironment" -0.491712590586344 0.0716501024421082 -0.724419129167277 -0.259006052005412 1.86085147291237e-10 "Day 0 - Nest Environment"
"Stageday0 - StageRiverEnvironment" -0.534456342027616 0.0674701681774525 -0.753587212171649 -0.315325471883582 2.00950367457153e-14 "Day 0 - River Environment"
"Stageday0 - StageBlank" 1.17816769576714 0.102707894477009 0.844591081162967 1.51174431037131 0 "Day 0 - Blank"
"Stageday5 - Stageday10" -0.0854579849851782 0.075168864517395 -0.329592824639252 0.158676854668896 0.992446375860659 "Day 5 - Day 10"
"Stageday5 - Stageday15" 0.0754451808350408 0.0784169675564039 -0.17923890842789 0.330129270097971 0.998253588778563 "Day 5 - Day 15"
"Stageday5 - Stageday20" 0.0494894826278018 0.0828927706407926 -0.219731203341037 0.318710168596641 0.999983184586821 "Day 5 - Day 20"
"Stageday5 - Stageday25" 0.100659047690316 0.0856112635027325 -0.177390810080059 0.37870890546069 0.98998817508199 "Day 5 - Day 25"
"Stageday5 - Stageday30andGreater" 0.0871579034251507 0.0808229245554672 -0.175340297836838 0.349656104687139 0.995203173137622 "Day 5 - Day <U+2265>30"
"Stageday5 - StageNestEnvironment" -0.102939307592347 0.067313115184036 -0.321560098096212 0.115681482911519 0.928521079963236 "Day 5 - Nest Environment"
"Stageday5 - StageRiverEnvironment" -0.145683059033618 0.062674241644675 -0.349237629567573 0.0578715115003373 0.44538887112908 "Day 5 - River Environment"
"Stageday5 - StageBlank" 1.56694097876113 0.0987476970117642 1.24622636731989 1.88765559020238 0 "Day 5 - Blank"
"Stageday10 - Stageday15" 0.160903165820219 0.0842453821934409 -0.112710557167872 0.43451688880831 0.742615552840149 "Day 10 - Day 15"
"Stageday10 - Stageday20" 0.13494746761298 0.0882520525708548 -0.151679194128633 0.421574129354593 0.928467006891657 "Day 10 - Day 20"
"Stageday10 - Stageday25" 0.186117032675494 0.090786984691938 -0.10874262887113 0.480976694222118 0.646173073205897 "Day 10 - Day 25"
"Stageday10 - Stageday30andGreater" 0.172615888410329 0.0862294706902919 -0.107441794189871 0.452673571010529 0.680409340487683 "Day 10 - Day <U+2265>30"
"Stageday10 - StageNestEnvironment" -0.0174813226071685 0.074234096103392 -0.258580203978096 0.223617558763759 0.999999999165044 "Day 10 - Nest Environment"
"Stageday10 - StageRiverEnvironment" -0.0602250740484398 0.0701813151768634 -0.288161257964729 0.167711109867849 0.999398352118277 "Day 10 - River Environment"
"Stageday10 - StageBlank" 1.65239896374631 0.104362959189958 1.31344699910982 1.9913509283828 0 "Day 10 - Blank"
"Stageday15 - Stageday20" -0.0259556982072389 0.0912041141022856 -0.322170120429896 0.270258724015418 0.999999993438269 "Day 15 - Day 20"
"Stageday15 - Stageday25" 0.0252138668552749 0.0936818105923209 -0.279047664222755 0.329475397933304 0.999999996457064 "Day 15 - Day 25"
"Stageday15 - Stageday30andGreater" 0.01171272259011 0.0893273266633397 -0.27840623439686 0.30183167957708 0.999999999998614 "Day 15 - Day <U+2265>30"
"Stageday15 - StageNestEnvironment" -0.178384488427387 0.0773163939159533 -0.429494114101385 0.0727251372466096 0.457841517608133 "Day 15 - Nest Environment"
"Stageday15 - StageRiverEnvironment" -0.221128239868659 0.0733128253890876 -0.459235001037176 0.0169785212998584 0.0988626898813296 "Day 15 - River Environment"
"Stageday15 - StageBlank" 1.49149579792609 0.105817468194162 1.14781985182738 1.83517174402481 0 "Day 15 - Blank"
"Stageday20 - Stageday25" 0.0511695650625138 0.0970909698173466 -0.264164296908106 0.366503427033133 0.999995344308562 "Day 20 - Day 25"
"Stageday20 - Stageday30andGreater" 0.0376684207973489 0.0927883827322392 -0.263691418619327 0.339028260214025 0.999999706517181 "Day 20 - Day <U+2265>30"
